0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:00:16 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:00:16 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:00:17 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:00:17 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:17 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:17 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:17 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:17 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:17 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:17 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:17 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:36 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:36 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:36 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:36 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:36 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:36 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:06:36 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:07:24 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:07:24 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:07:24 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:07:24 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:07:24 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:07:24 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:07:24 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:40 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:40 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:40 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:40 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:40 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:41 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:41 +0530] "GET /shop_IT_v1/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:49 +0530] "GET /shop_IT_v1/ HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:49 +0530] "GET /shop_IT_v1/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:49 +0530] "GET /shop_IT_v1/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:49 +0530] "GET /shop_IT_v1/my-shop.js HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:49 +0530] "GET /shop_IT_v1/angular-1.6.3/angular.js HTTP/1.1" 200 1246179
0:0:0:0:0:0:0:1 - - [19/Mar/2017:12:08:49 +0530] "GET /shop_IT_v1/css/bootstrap.css.map HTTP/1.1" 200 389287
